#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.586000000000000E+05   0.170648464163823E-04   0.491766758879902E+00
  0.293000000000000E+05   0.341296928327645E-04   0.200198996827119E+01
  0.195333333333333E+05   0.511945392491468E-04   0.462146715311682E+01
  0.146500000000000E+05   0.682593856655290E-04   0.845712068162356E+01
  0.117200000000000E+05   0.853242320819113E-04   0.135731626276645E+02
  0.976666666666667E+04   0.102389078498294E-03   0.199235880122662E+02
  0.837142857142857E+04   0.119453924914676E-03   0.272920244251981E+02
  0.732500000000000E+04   0.136518771331058E-03   0.352551923966605E+02
  0.651111111111111E+04   0.153583617747440E-03   0.431865903500987E+02
  0.586000000000000E+04   0.170648464163823E-03   0.503093502914442E+02
  0.532727272727273E+04   0.187713310580205E-03   0.557970110822338E+02
  0.488333333333333E+04   0.204778156996587E-03   0.589087894699317E+02
  0.450769230769231E+04   0.221843003412969E-03   0.591322850138488E+02
  0.418571428571429E+04   0.238907849829352E-03   0.563014351778064E+02
  0.390666666666667E+04   0.255972696245734E-03   0.506584818229123E+02
  0.366250000000000E+04   0.273037542662116E-03   0.428382047325505E+02
  0.344705882352941E+04   0.290102389078498E-03   0.337710799838542E+02
  0.325555555555556E+04   0.307167235494881E-03   0.245233742973708E+02
  0.308421052631579E+04   0.324232081911263E-03   0.161063911713740E+02
  0.293000000000000E+04   0.341296928327645E-03   0.929952150879777E+01
  0.279047619047619E+04   0.358361774744027E-03   0.452827365058691E+01
  0.266363636363636E+04   0.375426621160410E-03   0.182280305094503E+01
  0.254782608695652E+04   0.392491467576792E-03   0.865610459720087E+00
  0.244166666666667E+04   0.409556313993174E-03   0.111031746234685E+01
  0.234400000000000E+04   0.426621160409556E-03   0.193793886119770E+01
  0.225384615384615E+04   0.443686006825939E-03   0.280854042379283E+01
  0.217037037037037E+04   0.460750853242321E-03   0.337050593374583E+01
  0.209285714285714E+04   0.477815699658703E-03   0.350405162508895E+01
  0.202068965517241E+04   0.494880546075085E-03   0.329564988925039E+01
  0.195333333333333E+04   0.511945392491468E-03   0.296003529989822E+01
  0.189032258064516E+04   0.529010238907850E-03   0.273849694355586E+01
  0.183125000000000E+04   0.546075085324232E-03   0.280682083238463E+01
  0.177575757575758E+04   0.563139931740614E-03   0.321824578963276E+01
  0.172352941176471E+04   0.580204778156997E-03   0.389422682567838E+01
  0.167428571428571E+04   0.597269624573379E-03   0.465913192888025E+01
  0.162777777777778E+04   0.614334470989761E-03   0.530244434714783E+01
  0.158378378378378E+04   0.631399317406143E-03   0.564510298406993E+01
  0.154210526315789E+04   0.648464163822526E-03   0.558979627028650E+01
  0.150256410256410E+04   0.665529010238908E-03   0.514078393795607E+01
  0.146500000000000E+04   0.682593856655290E-03   0.439204895045896E+01
  0.142926829268293E+04   0.699658703071672E-03   0.349178533646161E+01
  0.139523809523810E+04   0.716723549488055E-03   0.259731599855746E+01
  0.136279069767442E+04   0.733788395904437E-03   0.183593350470540E+01
  0.133181818181818E+04   0.750853242320819E-03   0.128141521608994E+01
  0.130222222222222E+04   0.767918088737201E-03   0.950314057754880E+00
  0.127391304347826E+04   0.784982935153584E-03   0.814196566445701E+00
  0.124680851063830E+04   0.802047781569966E-03   0.819857937992828E+00
  0.122083333333333E+04   0.819112627986348E-03   0.909175602675458E+00
  0.119591836734694E+04   0.836177474402730E-03   0.103224967825237E+01
